epoch,rx_pkts,age_ms,remote_state
1783368681,71598,4.5,3
1783368682,71712,0.2,3
1783368683,71826,4.7,3
1783368684,71942,0.4,3
1783368685,72056,5.5,3
1783368686,72171,1.3,3
1783368687,72285,9.0,3
1783368688,72399,4.2,3
1783368689,72514,4.4,3
1783368690,72631,0.6,3
1783368691,72745,0.5,3
1783368692,72859,7.4,3
1783368693,72975,0.2,3
1783368694,73088,8.1,3
1783368695,73202,7.6,3
1783368696,73316,6.5,3
1783368697,73430,1.6,3
1783368698,73542,5.3,3
1783368699,73658,3.3,3
1783368700,73773,6.5,3
1783368701,73886,6.4,3
1783368702,74000,4.0,3
1783368703,74116,6.0,3
1783368704,74230,5.5,3
1783368705,74344,2.1,3
1783368706,74456,5.9,3
1783368707,74571,7.5,3
1783368708,74685,5.7,3
1783368709,74800,2.7,3
1783368710,74915,2.0,3
1783368711,75030,0.6,3
1783368712,75145,2.6,3
1783368713,75258,5.2,3
1783368714,75372,1.4,3
1783368715,75487,7.6,3
1783368716,75602,5.8,3
1783368717,75715,8.8,3
1783368718,75831,3.2,3
1783368719,75944,5.6,3
1783368720,76060,4.2,3
1783368721,76174,6.6,3
1783368722,76289,6.2,3
1783368723,76405,3.4,3
1783368724,76519,8.6,3
1783368725,76635,1.5,3
1783368726,76747,8.7,3
1783368727,76861,3.7,3
1783368728,76977,1.8,3
1783368729,77092,3.3,3
1783368730,77207,1.6,3
1783368731,77320,2.7,3
1783368732,77433,4.3,3
1783368733,77547,9.0,3
1783368734,77660,4.9,3
1783368735,77773,8.5,3
1783368736,77886,6.1,3
1783368737,78000,7.1,3
1783368738,78114,0.3,3
1783368739,78228,2.1,3
1783368740,78343,3.0,3
1783368741,78382,2.1,3
epoch,rx_pkts,age_ms,remote_state,alive
1783368920,2,0.0,3,1
1783368921,36,2.3,3,1
1783368922,150,6.2,3,1
1783368923,265,1.7,3,1
1783368924,379,1.4,3,1
1783368925,493,0.3,3,1
1783368926,605,2.3,3,1
1783368927,719,2.7,3,1
1783368928,833,4.4,3,1
1783368929,947,1.8,3,1
1783368930,1061,2.4,3,1
1783368931,1176,0.0,3,1
1783368932,1289,8.6,3,1
1783368933,1403,7.6,3,1
1783368934,1516,3.9,3,1
1783368935,1629,2.9,3,1
1783368936,1743,4.1,3,1
1783368937,1859,0.8,3,1
1783368938,1974,2.3,3,1
1783368939,2087,7.8,3,1
1783368940,2200,6.8,3,1
1783368941,2314,3.1,3,1
1783368942,2427,6.8,3,1
1783368943,2543,0.7,3,1
1783368944,2655,6.2,3,1
1783368945,2770,1.5,3,1
1783368946,2884,7.3,3,1
1783368947,3000,2.2,3,1
1783368948,3114,5.4,3,1
1783368949,3228,5.8,3,1
1783368950,3342,4.0,3,1
1783368951,3457,6.8,3,1
1783368952,3572,5.6,3,1
1783368953,3688,5.8,3,1
1783368954,3791,3.2,3,1
1783368955,3905,6.3,3,1
1783368956,4020,0.7,3,1
1783368957,4135,1.6,3,1
1783368958,4249,6.6,3,1
1783368959,4363,4.8,3,1
1783368960,4478,4.3,3,1
1783368961,4591,6.6,3,1
1783368962,4705,8.3,3,1
1783368963,4820,6.3,3,1
1783368964,4933,2.0,3,1
1783368965,5047,6.2,3,1
1783368966,5163,0.1,3,1
1783368967,5278,5.9,3,1
